ix_id,name,long_name,City,Country,Continent,net,fac,Cloudflare,Meta,Akamai,Microsoft,Netskope,Hurricane,Amazon,Fastly,Google,ACE CDN,TOTAL
347,GR-IX::Athens,Greek Internet Exchange - Athens,Athens,GR,Europe,66,3,400,0,0,200,0,100,200,0,0,0,900
1997,Equinix London,Equinix Internet Exchange London,London,GB,Europe,54,7,100,0,0,200,0,200,0,200,200,0,900
2756,EdgeIX - Brisbane,,Brisbane,AU,Australia,53,3,100,0,100,200,0,100,200,200,0,0,900
3735,PhIX,,Manila,PH,Asia Pacific,12,4,100,0,0,0,0,0,0,800,0,0,900
4449,AIX,Alien Internet Exchange,"Tapos, Depok",ID,Asia Pacific,319,5,100,200,300,0,0,0,200,0,0,100,900
4525,DE-CIX Mexico,"DE-CIX MEXICO (Mexico City, Querétaro)",Mexico City,MX,North America,26,4,100,0,100,200,0,0,200,200,0,100,900
3352,STUIX,Student & Technology United Internet Exchanges,Taipei City,TW,Asia Pacific,124,2,100,200,100,200,100,100,20,0,20,0,840
174,IX.br (PTT.br) Curitiba,IX.br (PTT.br) Curitiba,Curitiba,BR,South America,177,7,120,0,500,0,0,0,0,200,0,0,820
198,NIXI Delhi,National Internet eXchange of India,Delhi,IN,Asia Pacific,115,11,100,200,200,20,0,0,0,100,200,0,820
267,DRF IX,DRFortress Exchange,Honolulu,US,North America,33,1,100,0,100,200,100,100,200,20,0,0,820
344,CINX,Cape Town Internet Exchange,Cape Town,ZA,Africa,120,6,100,200,100,20,0,100,200,100,0,0,820
2718,EdgeIX - Perth,,Perth,AU,Australia,68,5,200,0,100,200,0,100,20,200,0,0,820
248,DE-CIX Munich,,Munich,DE,Europe,181,8,100,0,200,200,100,100,0,100,10,0,810
1149,DE-CIX Marseille,,Marseille,FR,Europe,106,2,400,0,0,0,0,100,200,100,10,0,810
172,STHIX - Stockholm,Stockholm Internet eXchange,Stockholm,SE,Europe,84,6,100,200,200,40,10,30,0,200,20,0,800
639,YYCIX,YYCIX Calgary Internet Exchange,Calgary,CA,North America,92,9,100,0,0,0,100,200,200,200,0,0,800
781,MegaIX Brisbane,Megaport MegaIX Brisbane,Brisbane,AU,Australia,95,11,100,0,100,200,100,100,200,0,0,0,800
829,SLIX - Salt Lake City Internet Exchange,Salt Lake Internet Exchange,Salt Lake City,US,North America,35,5,100,0,0,200,0,100,200,0,200,0,800
869,Ohio IX,Ohio IX,Columbus,US,North America,53,16,100,0,100,0,0,200,200,200,0,0,800
